"AROMA","SABOR","TEXTURA","UMIDADE","Method"
5.4,6,6.3,6.7,"M1"
5.2,6.2,6,5.8,"M1"
6.1,5.9,6,7,"M1"
4.8,5,4.9,5,"M1"
5,5.7,5,6.5,"M1"
5.7,6.1,6,6.6,"M1"
6,6,5.8,6,"M1"
4,5,4,5,"M1"
5.7,5.4,4.9,5,"M1"
5.6,5.2,5.4,5.8,"M1"
5.8,6.1,5.2,6.4,"M1"
5.3,5.9,5.8,6,"M1"
5,5.3,5.3,6.5,"M2"
4.8,4.9,4.2,5.6,"M2"
3.9,4,4.4,5,"M2"
4,5.1,4.8,5.8,"M2"
5.6,5.4,5.1,6.2,"M2"
6,5.5,5.7,6,"M2"
5.2,4.8,5.4,6,"M2"
5.3,5.1,5.8,6.4,"M2"
5.9,6.1,5.7,6,"M2"
6.1,6,6.1,6.2,"M2"
6.2,5.7,5.9,6,"M2"
5.1,4.9,5.3,4.8,"M2"
4.8,5,6.5,7,"M3"
5.4,5,6,6.4,"M3"
4.9,5.1,5.9,6.5,"M3"
5.7,5.2,6.4,6.4,"M3"
4.2,4.6,5.3,6.3,"M3"
6,5.3,5.8,6.4,"M3"
5.1,5.2,6.2,6.5,"M3"
4.8,4.6,5.7,5.7,"M3"
5.3,5.4,6.8,6.6,"M3"
4.6,4.4,5.7,5.6,"M3"
4.5,4,5,5.9,"M3"
4.4,4.2,5.6,5.5,"M3"
